경도,위도
126.9586116,37.5640076
126.9560283,37.5617593
126.9560981,37.5632466
126.9562018,37.5639233
126.9553462,37.5635913
126.9576384,37.5631791
126.9578549,37.5638838
126.9575614,37.5638272
126.9571374,37.5642019
126.9559116,37.5644433
126.9552065,37.5646803
126.9542276,37.5642572
126.9548056,37.5625864
126.955499,37.56562
126.9540055,37.5663817
126.9531822,37.5661671
126.9519737,37.5667781
126.9543333,37.5631769
126.9556549,37.5649907
126.9604332,37.5632488
126.9608096,37.5630449
126.960433,37.5640777
126.9597922,37.5629458
126.9596423,37.5639627
126.9611767,37.5618768
126.9606993,37.5620167
126.9630072,37.5645509
126.9613183,37.5639053
126.9510326,37.5798077
126.9427546,37.5831488
126.9421429,37.5831703
126.9418763,37.5836095
126.9429597,37.5822586
126.9444522,37.5832
126.9448261,37.5831763
126.9449947,37.5840699
126.9424845,37.5838312
126.9435674,37.585724
126.9442588,37.586469
126.9446203,37.5865263
126.9454968,37.5870027
126.9455276,37.5864263
126.9451786,37.586279
126.9431122,37.587486
126.9425252,37.5865616
126.9421342,37.5861887
126.9417505,37.5860952
126.9413899,37.5867767
126.941096,37.586738
126.9404501,37.5859754
126.9422653,37.58892
126.9416205,37.5896801
126.9421676,37.5878289
126.9413142,37.5873257
126.9407743,37.5870685
126.9405791,37.5864631
126.9406084,37.5859948
126.9411111,37.585675
126.9375139,37.588625
126.938675,37.5889869
126.936285,37.5874607
126.9375725,37.5876885
126.9370323,37.5874584
126.9372112,37.5868203
126.936655,37.5869234
126.9372009,37.5859552
126.9379336,37.5853851
126.9379947,37.5850703
126.9378961,37.5848352
126.9370925,37.5856118
126.9366841,37.5848783
126.9370786,37.584999
126.9362586,37.5845411
126.9371493,37.5832156
126.9375526,37.5835166
126.9372829,37.5841719
126.9375881,37.5842017
126.9400339,37.5841876
126.9383231,37.5850643
126.9396479,37.5842652
126.9490103,37.5851419
126.9497507,37.5840222
126.9477997,37.5866899
126.9475192,37.5873091
126.9471408,37.5876481
126.9484779,37.586768
126.948418,37.5870017
126.9491301,37.5870892
126.9463244,37.5877309
126.9465405,37.5876608
126.9467638,37.587888
126.9505322,37.584804
126.9503951,37.5848929
126.9482643,37.5882708
126.9486269,37.5874451
126.9480012,37.5868539
126.9486357,37.5868235
126.9465825,37.5878954
126.9490533,37.5861064
126.9541009,37.5806008
126.9481465,37.5974423
126.9469112,37.5975123
126.947409,37.5943271
126.9458146,37.5925649
126.9472232,37.5962627
126.9486377,37.5963384
126.9493167,37.5947586
126.9495658,37.5947608
126.9501188,37.5948919
126.9490389,37.5951886
126.9502651,37.5933434
126.9515392,37.5921203
126.9521652,37.5918916
126.9525261,37.591183
126.9532155,37.5904683
126.9505933,37.5933553
126.9507094,37.5939601
126.9479341,37.5924216
126.9487384,37.5915908
126.9478444,37.5907539
126.9465082,37.5915619
126.9476796,37.5944106
126.9445818,37.5908599
126.9442948,37.5903348
126.9445254,37.5900395
126.9454303,37.5893087
126.940746,37.5962588
126.9412073,37.5948663
126.9420675,37.5949011
126.9452317,37.5937491
126.9462414,37.5960287
126.9448914,37.5953949
126.9460376,37.5984326
126.9457927,37.6005388
126.9479633,37.5999995
126.9483407,37.6005435
126.9477964,37.6030075
126.9470216,37.6017301
126.9487504,37.6012049
126.9495726,37.6015276
126.9490865,37.6014602
126.9497202,37.6047186
126.9496425,37.6046098
126.949755,37.6054667
126.9500808,37.6032351
126.9499921,37.6030991
126.9498405,37.6018003
126.9495783,37.6011222
126.949701,37.6004475
126.9499281,37.6004045
126.9496183,37.5990772
126.9505944,37.5989237
126.950802,37.5970424
126.951128,37.5964056
126.9513814,37.5961015
126.9520942,37.5961438
126.9466832,37.5984203
126.9556125,37.5972022
126.956003,37.5976201
126.9557883,37.5967803
126.9548846,37.5966191
126.9351503,37.5900184
126.934537,37.590148
126.9344779,37.5903186
126.9341138,37.5912344
126.9335388,37.5918599
126.9338774,37.5919351
126.9334104,37.5921291
126.9350478,37.5900535
126.9334303,37.5931114
126.9339515,37.5930891
126.934419,37.5920661
126.9346873,37.5931047
126.9341107,37.5946313
126.9337371,37.5954208
126.9330029,37.5944951
126.9336923,37.5937985
126.9350138,37.5908551
126.9352603,37.5902446
126.934223,37.5867573
126.9342382,37.58728
126.9332874,37.5872534
126.9329468,37.5873224
126.9325397,37.5872827
126.9328211,37.5874024
126.9326604,37.5867612
126.9322419,37.5875233
126.9315706,37.5861656
126.9308466,37.586916
126.9304512,37.5876422
126.9327667,37.5864558
126.9344586,37.5861107
126.9346324,37.58504
126.9342824,37.5857667
126.9347132,37.5841397
126.9351444,37.5832786
126.9346756,37.5835987
126.9344025,37.5844883
126.9334423,37.5859213
126.9357246,37.5822837
126.9354545,37.5821731
126.9347904,37.5818968
126.9344984,37.581732
126.9340282,37.5813583
126.9338529,37.5809513
126.9330802,37.5811516
126.932248,37.5815495
126.9333401,37.5819738
126.9329583,37.5809612
126.9327274,37.5804816
126.9350408,37.5802142
126.932882,37.5791675
126.9308019,37.5789595
126.9300343,37.5795922
126.9305293,37.5790201
126.9287524,37.5805627
126.9277304,37.5815626
126.9274543,37.5818664
126.9269183,37.5821409
126.9261202,37.583314
126.9271736,37.5824946
126.9271307,37.5831159
126.9261352,37.5846386
126.9264807,37.5850202
126.9267852,37.5851041
126.9258788,37.5851409
126.9251834,37.5854769
126.9250475,37.5854757
126.9247755,37.5854912
126.9261873,37.5857384
126.9272736,37.5857843
126.9246409,37.5854089
126.9236764,37.5855533
126.927055,37.5860256
126.9236909,37.5853282
126.9227006,37.5739121
126.9240526,37.5751498
126.9243705,37.5750807
126.9237661,37.5753905
126.9225916,37.5744067
126.9227402,37.5766606
126.9222941,37.576197
126.9234935,37.576235
126.9204809,37.5763246
126.9219372,37.5766082
126.9220473,37.5768255
